Dish Name,Calories (kcal),Carbohydrates (g),Protein (g),Fats (g),Free Sugar (g),Fibre (g),Sodium (mg),Calcium (mg),Iron (mg),Vitamin C (mg),Folate (µg),ingredients,diet,prep_time,cook_time,flavor_profile,course,youtube_link,healthy/unhealthy
Avial,124.56,8.47,2.46,8.94,3.83,5.44,81.5,31.9,1.01,94.64,108.12,"raw banana, elephant foot yam, long beans, tindora, urad dal",vegetarian,30,45,spicy,main course,https://youtu.be/_C9SZg3adxI?si=JMr1fSPFCmfuaCki,healthy
Bhatura,793.2,10.73,1.63,82.56,0.69,0.38,28.3,12.12,0.33,0.05,4.15,"chole, rava, yogurt, plain flour, baking soda",vegetarian,20,20,spicy,main course,https://youtu.be/QbyXsYOTJD4?si=A9a294nqs9KZJF_7,unhealthy
Biryani,450.0,60.0,20.0,15.0,3.0,2.0,900.0,40.0,2.0,5.0,80.0,"rice, chicken, spices, yogurt, onion",non vegetarian,30,45,spicy,main course,https://youtu.be/GZm7cmKK1bk?si=EsuypVar3CnLu7s9,unhealthy
Butter chicken,137.0,3.74,10.92,8.7,2.37,1.32,26.21,25.28,0.92,32.65,40.85,"chicken, greek yogurt, cream, garam masala powder, cashew nuts, butter",non vegetarian,10,35,spicy,main course,https://youtu.be/bX7AyuNMrVY?si=P0A0CpbZFh-q6TLo,unhealthy
Chhena poda,344.57,33.64,13.68,17.94,30.65,1.4,13.0,295.29,1.41,0.09,42.67,"sugar, chenna cheese",vegetarian,10,45,sweet,dessert,https://youtu.be/YycIBD0lPTw?si=kdEWfNQFUuccwRCZ,healthy
Chicken Fry,400.0,10.0,30.0,25.0,0.5,1.0,800.0,30.0,1.8,2.0,45.0,"chicken, spices, flour, oil",non vegetarian,20,20,spicy,snack,https://youtu.be/3CVDrAkhDmI?si=VnZXtQZvIhwwlpCk,unhealthy
Chicken Salad,300.0,10.0,25.0,15.0,1.0,3.0,250.0,40.0,1.4,8.0,50.0,"chicken, lettuce, tomato, cucumber, dressing",non vegetarian,15,10,spicy,main course,https://youtu.be/voHVFxMnMDw?si=N8DNmAFyOqu9QSHX,healthy
Dal makhani,74.04,7.96,3.32,3.06,0.8,2.27,41.85,20.62,1.23,9.19,75.16,"red kidney beans, urad dal, cream, garam masala, chili powder",vegetarian,10,60,sweet,main course,https://youtu.be/ca51e7nMI2g?si=et52mDZSXkFlAfjg,unhealthy
Dhokla,216.49,30.68,13.45,5.28,4.78,4.95,376.02,123.21,1.39,0.68,39.92,"rava, coconut, gram flour, mustard, sesame",vegetarian,10,20,spicy,snack,https://youtu.be/ONrkIBvLqhY?si=SBSQ4Uun9sjvJb_D,healthy
Dum aloo,682.33,3.33,0.7,74.01,0.71,0.68,183.85,16.49,0.36,29.39,34.41,"baby potatoes, garam masala, cashew nuts, kasuri methi, tomatoes",vegetarian,20,50,spicy,main course,https://youtu.be/T2laWpoM8Ek?si=_42KqLRbnLTUuuCE,unhealthy
French Fry,312.0,35.0,3.0,17.0,0.3,3.8,210.0,10.0,0.8,6.0,15.0,"potatoes, oil, salt",vegetarian,10,15,salty,snack,https://youtu.be/CYhYSoJrOLg?si=CgcHjNCXcQDCFfag,unhealthy
Idli,137.54,28.18,4.64,0.33,0.28,2.31,100.83,8.0,0.68,0.0,2.95,"split urad dal, urad dal, idli rice, thick poha, rock salt",vegetarian,360,90,spicy,snack,https://youtu.be/5Ef3y8MiPmM?si=OR6PcnWVNGjXhMS2,healthy
Khakhra,178.5,27.66,4.78,5.32,0.88,5.43,184.16,21.27,2.14,0.56,10.5,"whole wheat flour, low fat, bengal gram flour",vegetarian,20,40,spicy,snack,https://youtu.be/0cf6_WT4pJQ?si=BOBOku7tS27z6GDN,healthy
Masala dosa,164.58,19.57,3.29,7.84,1.33,2.52,191.28,15.58,0.79,14.14,35.76,"chana dal, urad dal, potatoes, idli rice, thick poha",vegetarian,360,90,spicy,snack,https://youtu.be/J75VQSxOtdo?si=cAGDgGRgpuHFPl6z,healthy
Mushroom matar,70.77,5.33,2.79,4.11,1.39,3.13,61.63,21.42,0.81,39.15,54.07,"canned coconut milk, frozen green peas, wild mushrooms, garam masala, tomatoes",vegetarian,10,30,spicy,main course,https://youtu.be/VxWjgIZPaKo?si=NxTogog_oqkXyQi_,healthy
Naan,286.45,51.75,8.05,4.99,5.59,1.91,326.11,88.01,1.29,0.23,7.56,"whole wheat flour, honey, butter, garlic",vegetarian,60,30,-1,main course,https://youtu.be/uLt663PbRfM?si=r9Ucx1zLMEDMMpZo,unhealthy
Pav bhaji,96.53,11.99,2.66,4.32,2.06,1.98,163.89,24.86,0.97,76.48,170.49,"pav bhaji masala, gobi, potatoes, green peas, dinner rolls",vegetarian,20,40,spicy,main course,https://youtu.be/qMAYG-soxhw?si=JwIOvmm4k74xoEsY,unhealthy
Pasta,350.0,50.0,10.0,12.0,2.0,3.0,300.0,60.0,1.5,4.0,70.0,"pasta, tomato sauce, cheese, olive oil",vegetarian,15,20,savory,main course,https://youtu.be/pnOHpCEf5nQ?si=nvGL8ARauqzabtu3,unhealthy
